Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2022-02-08,92400.0,92400.0,90100.0,92000.0,1146400,VND,2300.0,400.0,92528.57142857143,89278.57142857143,85938.09523809524,2232.124761831373,5862.1221575873205
2022-02-09,91200.0,91900.0,90300.0,90800.0,1582900,VND,1600.0,400.0,92214.28571428571,89914.28571428571,86500.0,2308.266717278371,5727.826813024293
2022-02-10,91100.0,93400.0,91000.0,91300.0,1827200,VND,2400.0,-200.0,91571.42857142857,90478.57142857143,87133.33333333333,1685.9362242922539,5470.4966258405975
2022-02-11,91300.0,91600.0,90000.0,90000.0,1158400,VND,1600.0,1300.0,90928.57142857143,90750.0,87652.38095238095,1158.6116486471442,5179.538497551599
2022-02-14,88100.0,88800.0,86000.0,86000.0,3629100,VND,2800.0,2100.0,90214.28571428571,90635.71428571429,87947.61904761905,2189.694477492654,4877.460307129017
2022-02-15,86000.0,88300.0,83800.0,87000.0,2453500,VND,4500.0,-1000.0,89928.57142857143,90650.0,88304.76190476191,2485.0984458798052,4486.922797472252
2022-02-16,87500.0,87900.0,86400.0,87000.0,1286000,VND,1500.0,500.0,89157.14285714286,90642.85714285714,88666.66666666667,2427.5207811380546,4014.3907798485893
2022-02-17,87000.0,87700.0,86800.0,87500.0,1431200,VND,900.0,-500.0,88514.28571428571,90521.42857142857,89023.80952380953,2126.365107743389,3506.2664989850373
2022-02-18,86400.0,87500.0,86400.0,87200.0,1066200,VND,1100.0,-800.0,88000.0,90107.14285714286,89276.19047619047,1905.2558883257639,3139.411531147962
2022-02-21,86600.0,87600.0,86600.0,87400.0,1017900,VND,1000.0,-800.0,87442.85714285714,89507.14285714286,89466.66666666667,1229.9825782738371,2875.2970860996893
2022-02-22,87000.0,87000.0,85000.0,86800.0,1540200,VND,2000.0,200.0,86985.71428571429,88957.14285714286,89495.23809523809,498.09159608978456,2844.0246466014
2022-02-23,87000.0,87000.0,85800.0,86900.0,986300,VND,1200.0,100.0,87114.28571428571,88664.28571428571,89461.90476190476,260.9506430251952,2871.3195904455183
2022-02-24,86700.0,86800.0,85000.0,85300.0,2078700,VND,1800.0,1400.0,86871.42857142857,88400.0,89390.47619047618,738.7247699341906,2958.19282027132
2022-02-25,85300.0,85900.0,85000.0,85100.0,1616500,VND,900.0,200.0,86600.0,87878.57142857143,89295.23809523809,989.9494936611939,3065.8565182467714
2022-02-28,85100.0,85100.0,84400.0,84500.0,1322100,VND,700.0,600.0,86171.42857142857,87342.85714285714,89071.42857142857,1168.6377906410373,3239.775124471277
2022-03-01,84500.0,85400.0,84100.0,85000.0,1295400,VND,1300.0,-500.0,85857.14285714286,86928.57142857143,88690.47619047618,1141.427677453653,3225.043373647056
2022-03-02,85600.0,85600.0,84200.0,85000.0,1655600,VND,1400.0,600.0,85514.28571428571,86478.57142857143,88176.19047619047,944.1549509633943,2876.9610289165857
2022-03-03,85000.0,85500.0,84700.0,85500.0,1052200,VND,800.0,-500.0,85328.57142857143,86157.14285714286,87747.61904761905,758.7583842794851,2538.2314803065274
2022-03-04,85200.0,85500.0,84800.0,84900.0,1058100,VND,700.0,300.0,85042.85714285714,86078.57142857143,87457.14285714286,315.4739442869267,2496.1112612564866
2022-03-07,84300.0,84900.0,83900.0,84900.0,1002800,VND,1000.0,-600.0,84985.71428571429,85928.57142857143,87261.90476190476,296.8084198525734,2529.5209409048607
2022-03-08,83800.0,84500.0,81500.0,81500.0,2936300,VND,3000.0,2300.0,84471.42857142857,85535.71428571429,86742.85714285714,1342.5278218275848,2540.7816570046803
2022-03-09,81800.0,83100.0,81700.0,83000.0,1325300,VND,1400.0,-1200.0,84257.14285714286,85214.28571428571,86314.28571428571,1452.419983862789,2362.474489658192
2022-03-10,83000.0,83700.0,82900.0,83500.0,1154100,VND,800.0,-500.0,84042.85714285714,84950.0,85966.66666666667,1435.1041110400276,2200.9846281456294
2022-03-11,83700.0,83900.0,83000.0,83800.0,876100,VND,900.0,-100.0,83871.42857142857,84692.85714285714,85609.52380952382,1371.9988893512752,1876.9402659394316
2022-03-14,83300.0,84200.0,83200.0,84200.0,1438200,VND,1000.0,-900.0,83685.71428571429,84507.14285714286,85333.33333333333,1190.8380402453654,1605.7189459346107
2022-03-15,84000.0,84100.0,81000.0,81100.0,2385900,VND,3100.0,2900.0,83142.85714285714,84092.85714285714,85100.0,1393.864104874414,1842.5525772688343
2022-03-16,81300.0,83200.0,81300.0,82500.0,1000600,VND,1900.0,-1200.0,82800.0,83892.85714285714,84885.71428571429,1166.1903789691542,1871.9737482896865
2022-03-17,83000.0,83500.0,82700.0,83000.0,1222400,VND,800.0,0.0,83014.28571428571,83742.85714285714,84695.23809523809,1015.592719267317,1849.4529435690476
2022-03-18,83100.0,85200.0,82900.0,84200.0,1406600,VND,2300.0,-1100.0,83185.71428571429,83721.42857142857,84538.09523809524,1109.6975134822897,1735.9366896509257
2022-03-21,84200.0,85500.0,84000.0,84900.0,933900,VND,1500.0,-700.0,83385.71428571429,83714.28571428571,84428.57142857143,1287.6704695283781,1628.8470944637131
2022-03-22,84900.0,85500.0,84900.0,84900.0,775100,VND,600.0,0.0,83542.85714285714,83707.14285714286,84309.52380952382,1408.1396034688225,1485.902002793181
2022-03-23,84900.0,85600.0,84900.0,84900.0,966600,VND,700.0,0.0,83642.85714285714,83664.28571428571,84219.04761904762,1485.3250405856159,1380.803768686584
2022-03-24,84900.0,84900.0,83500.0,83500.0,570200,VND,1400.0,1400.0,83985.71428571429,83564.28571428571,84057.14285714286,997.3775136637466,1243.2101304974367
2022-03-25,84000.0,84000.0,82000.0,82500.0,1137800,VND,2000.0,1500.0,83985.71428571429,83392.85714285714,83923.80952380953,997.3775136637466,1253.3573959189723
2022-03-28,83000.0,83000.0,82000.0,82400.0,725400,VND,1000.0,600.0,83900.0,83457.14285714286,83795.23809523809,1115.0485789119293,1265.099280877282
2022-03-29,82400.0,83000.0,81600.0,81900.0,1018600,VND,1400.0,500.0,83571.42857142857,83378.57142857143,83671.42857142857,1330.0554947248695,1318.7656566436972
2022-03-30,81800.0,83500.0,81500.0,82000.0,913900,VND,2000.0,-200.0,83157.14285714286,83271.42857142857,83528.57142857143,1298.5339719047395,1330.0912965442942
2022-03-31,82000.0,82600.0,82000.0,82100.0,492400,VND,600.0,-100.0,82757.14285714286,83150.0,83390.47619047618,1086.058842569802,1320.1911838460317
2022-04-01,82100.0,83600.0,81100.0,82800.0,900300,VND,2500.0,-700.0,82457.14285714286,83050.0,83261.90476190476,556.3486402644266,1233.0759062102438
2022-04-04,83200.0,84100.0,82600.0,82600.0,712000,VND,1500.0,600.0,82328.57142857143,83157.14285714286,83152.38095238095,335.23268393942124,1181.3632157888917
2022-04-05,82800.0,83200.0,82600.0,83000.0,526100,VND,600.0,-200.0,82400.0,83192.85714285714,83061.90476190476,420.3173404309358,1111.5197661203392
2022-04-06,82900.0,85000.0,81700.0,84600.0,2009600,VND,3300.0,-1700.0,82714.28571428571,83307.14285714286,83209.52380952382,931.7162862671601,1099.5020517965324
2022-04-07,84900.0,85200.0,83000.0,83000.0,928000,VND,2200.0,1900.0,82871.42857142857,83221.42857142857,83209.52380952382,861.6153157768052,1099.5020517965324
2022-04-08,83900.0,83900.0,82900.0,83000.0,788200,VND,1000.0,900.0,83014.28571428571,83085.71428571429,83185.71428571429,771.20808136462,1098.3103906845902
2022-04-12,83000.0,83200.0,81600.0,82400.0,841300,VND,1600.0,600.0,83057.14285714286,82907.14285714286,83119.04761904762,718.4639700017424,1101.6437934373662
2022-04-13,83000.0,83100.0,82000.0,82400.0,850700,VND,1100.0,600.0,83000.0,82728.57142857143,83033.33333333333,757.1877794401646,1083.2051206181386
2022-04-14,82400.0,82900.0,81000.0,81000.0,1151400,VND,1900.0,1400.0,82771.42857142857,82550.0,83028.57142857143,1073.4900802434863,1092.3107877993702
2022-04-15,81200.0,81500.0,80200.0,80200.0,894800,VND,1300.0,1000.0,82371.42857142857,82385.71428571429,82919.04761904762,1434.93819345917,1251.6465346171303
2022-04-18,80000.0,80200.0,77600.0,77700.0,1237300,VND,2600.0,2300.0,81385.71428571429,82050.0,82666.66666666667,1932.5532087790584,1691.547614858464
2022-04-19,77800.0,78500.0,77600.0,77700.0,1003400,VND,900.0,100.0,80628.57142857143,81750.0,82357.14285714286,2212.626106172182,1968.901071301312
2022-04-20,78000.0,78900.0,77700.0,78400.0,904600,VND,1200.0,-400.0,79971.42857142857,81492.85714285714,82047.61904761905,2069.391444937712,2058.0619639891975
