,ACB,DGC,SHB,VND
1/4/2022,4555000,643100,12284800,12664200
1/5/2022,5934500,846500,9735600,16192900
1/6/2022,5673700,613100,17611400,13889100
1/7/2022,3323800,1010200,10968100,15000000
1/10/2022,5693200,2039400,8808000,27874400
1/11/2022,6395100,1309500,10186100,24507400
1/12/2022,7789000,758800,20379700,19665600
1/13/2022,6511900,405100,18076100,14441000
1/14/2022,1941100,311000,13045700,9303100
1/17/2022,7284700,1020500,13097300,38870300
1/18/2022,4272600,972500,8178700,25085400
1/19/2022,2104000,523300,7557900,14095400
1/20/2022,3415900,758400,10012700,12991000
1/21/2022,4404000,599100,7067000,8233700
1/24/2022,13185100,608200,10341700,26677800
1/25/2022,4282700,538700,10558300,10011700
1/26/2022,8494500,607900,15516500,11229500
1/27/2022,6064400,581900,8719100,10634800
1/28/2022,10258100,319000,10430600,11621400
2/7/2022,4548000,446700,12971600,10002600
2/8/2022,32461200,553100,11047800,6725100
2/9/2022,10149700,257700,29219200,12456200
2/10/2022,7632500,664200,13070400,6697500
2/11/2022,9575200,459600,9905100,7858300
2/14/2022,13153200,687900,19137600,11149700
2/15/2022,6631900,236200,12320200,10103400
2/16/2022,5099500,288200,9397700,6780500
2/17/2022,3913100,1132500,4697000,6242000
2/18/2022,7318400,1468700,9016600,11882200
2/21/2022,7285100,842200,10414500,14233900
2/22/2022,8094700,1286000,9531900,11194800
2/23/2022,5857600,1867100,10010300,5748300
2/24/2022,8892700,2082900,12071800,23669900
2/25/2022,5508400,2105400,7373200,27441900
2/28/2022,3857100,1842200,5275500,14762400
3/1/2022,5610900,1246900,9618000,16118200
3/2/2022,13881600,1697600,14650200,24876400
3/3/2022,8167100,5507000,6319000,10401400
3/4/2022,6925100,3403000,6219500,11318000
3/7/2022,4694500,4069300,11834200,16471100
3/8/2022,7221800,3052400,13867200,17836300
3/9/2022,4172000,2996100,9773200,29104300
3/10/2022,2199800,1437000,6180400,2000300
3/11/2022,2714900,2314200,8088200,32597700
3/14/2022,2724900,2379900,21650700,7352000
3/15/2022,2750200,2176000,10352500,8550700
3/16/2022,3294200,1673100,5092100,4868500
3/17/2022,2620300,1599500,11222400,6099500
3/18/2022,2597000,1848700,10855600,13105600
3/21/2022,3302500,3422100,9584100,6935100
3/22/2022,3324000,3093400,14178100,8155200
3/23/2022,2060000,3169000,8460700,6824800
3/24/2022,2873100,3439900,5256700,8935200
3/25/2022,3338200,2561600,4405000,8458900
3/28/2022,4875800,2171400,8568600,10102500
3/29/2022,3664900,2885500,6999800,5304000
3/30/2022,4154500,3207600,7597100,5877000
3/31/2022,5523400,1743900,5595600,4554400
4/1/2022,5865500,1744400,10566600,7846800
4/4/2022,4794400,1907500,13831400,28162500
4/5/2022,4508400,1770700,8153300,17035800
4/6/2022,4156600,1340400,17364200,18821500
4/7/2022,9648900,1410000,11287000,23236900
4/8/2022,8904400,1297600,18300100,17989300
4/12/2022,4923200,1112200,9283100,16606900
4/13/2022,5053900,2285800,6053500,16660500
4/14/2022,4900700,2400900,6332900,12340600
4/15/2022,5388100,1260400,5247600,12856200
4/18/2022,5946400,1398500,9371500,18699800
4/19/2022,5244400,2350900,8090000,15768700
4/20/2022,4490500,2448200,8241200,13758500
4/21/2022,5899800,1408900,19085000,14542000
4/22/2022,5188800,4671400,10898300,13201300
4/25/2022,8242600,2001500,9262200,16404800
4/26/2022,6106000,2139100,12450900,15523600
4/27/2022,2831800,1720300,7815200,7463600
4/28/2022,1503700,1255200,4084700,9707900
4/29/2022,4640900,2100200,7934600,10427700
5/4/2022,2060200,1027200,8614400,7952900
5/5/2022,3209000,1557400,5086600,10868100
5/6/2022,1920300,1421300,5803400,14963500
5/9/2022,5176200,1672100,15576800,14588800
5/10/2022,3850100,2099800,10894600,11674300
5/11/2022,2319300,809700,5278600,4532300
5/12/2022,3128000,1980600,11900700,8089900
5/13/2022,6142600,2508900,16984900,17305000
5/16/2022,5137600,1497600,13082500,8471400
5/17/2022,2617900,1245200,11063300,8208600
5/18/2022,3521100,1215700,6464200,10785800
5/19/2022,1856400,1607700,18992600,8416700
